Temperature,Relative Humidity,Pressure,Wind speed,Rainfall,Elevation,Azimuth,Clear sky GHI,Date_UnixTimeStamp,TimeSunRise_UnixTimeStamp,TimeSunSet_UnixTimeStamp,SunTime
298.58,33.77,942.3,2.48,0,0.137434935,4.236635624,805.9377,1483425000,1483406460,1483446360,39900
294.32,43.87,942.86,2.44,0,-0.08805858,4.322517113,731.6003,1483428600,1483406460,1483446360,39900
292.69,42.62,943.58,2.56,0,-0.320722877,4.387732505,588.0789,1483432200,1483406460,1483446360,39900
291.44,44.35,944.25,2.66,0,-0.557938573,4.436350858,389.4667,1483435800,1483406460,1483446360,39900
290.04,46.92,944.58,2.84,0,-0.797931742,4.467977372,164.5143,1483439400,1483406460,1483446360,39900
288.57,50.15,944.47,3.06,0,-1.039154555,4.473071975,11.7065,1483443000,1483406460,1483446360,39900
287.29,52.87,944.05,3.25,0,-1.278814467,4.401051084,0,1483446600,1483406460,1483446360,39900
286.28,54.52,943.6,3.41,0,-1.486991025,3.597430265,0,1483450200,1483406460,1483446360,39900
285.5,55.49,943.28,3.53,0,-1.350227444,1.95495591,0,1483453800,1483406460,1483446360,39900
284.9,56.09,942.88,3.58,0,-1.112774488,1.818047133,0,1483457400,1483406460,1483446360,39900
284.41,56.64,942.61,3.59,0,-0.871540458,1.809258698,0,1483461000,1483406460,1483446360,39900
284.02,57.19,942.58,3.62,0,-0.630944115,1.834485736,0,1483464600,1483406460,1483446360,39900
283.72,57.64,942.83,3.67,0,-0.392639074,1.878151998,0,1483381800,1483406460,1483446360,39900
